Filename,SegCellCount,NucleiCount,CellID,totMyc,meanMyc,SumGolATG9,totATG9A,PearsonCoeff,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
,,,,,,,,,,,,,4,11.1199,0.0705104,1279,,,,
,,,,,,,,,,,,,4,5.99574,0.0282041,1190,,,,
,,,,,,,,,,,,,4,3.7438,0.00705104,1117,,,,
,,,,,,,,,,,,,4,4.01676,0.0211531,1017,,,,
,,,,,,,,,,,,,4,3.55365,0.486521,1902,,,,
,,,,,,,,,,,,,4,3.67818,0.00705104,990,,,,
,,,,,,,,,,,,,4,1.86123,0.00705104,1085,,,,
,,,,,,,,,,,,,4,4.46078,0.0564083,1003,,,,
,,,,,,,,,,,,,4,12.9527,0.0282041,1029,,,,
,,,,,,,,,,,,,4,7.22557,0.0987145,1251,,,,
,,,,,,,,,,,,,4,11.4522,1.57238,2081,,,,
,,,,,,,,,,,,,4,9.34366,0.0916635,1119,,,,
,,,,,,,,,,,,,4,8.49085,0.0141021,1120,,,,
,,,,,,,,,,,,,4,12.4805,0.0282041,1233,,,,
,,,,,,,,,,,,,4,11.1041,0.0141021,986,,,,
,,,,,,,,,,,,,4,5.1839,0.0282041,1145,,,,
,,,,,,,,,,,,,4,12.138,0.00705104,919,,,,
,,,,,,,,,,,,,4,10.1755,0.0141021,1172,,,,
,,,,,,,,,,,,,4,8.50155,0.0141021,977,,,,
,,,,,,,,,,,,,4,5.74639,0.0987145,1217,,,,
,,,,,,,,,,,,,4,10.0174,0.0282041,1106,,,,
,,,,,,,,,,,,,4,5.41104,0.246786,1234,,,,
,,,,,,,,,,,,,4,6.29938,0.00705104,989,,,,
,,,,,,,,,,,,,4,13.755,0.00705104,951,,,,
,,,,,,,,,,,,,4,13.6998,0.218582,1527,,,,
,,,,,,,,,,,,,4,12.069,0.218582,1341,,,,
,,,,,,,,,,,,,4,12.9935,0.197429,1511,,,,
,,,,,,,,,,,,,4,12.9649,0.0705104,1223,,,,
,,,,,,,,,,,,,4,12.5145,0.68395,2436,,,,
,,,,,,,,,,,,,4,22.5454,0.0141021,1215,,,,
,,,,,,,,,,,,,5,7.52475,0.648695,1415,,,,
,,,,,,,,,,,,,5,13.2722,0.0846124,1051,,,,
,,,,,,,,,,,,,5,11.2046,0.0141021,1121,,,,
,,,,,,,,,,,,,5,7.03866,0.289092,1264,,,,
,,,,,,,,,,,,,5,6.35819,0.0493572,1002,,,,
,,,,,,,,,,,,,5,6.27243,0.155123,1201,,,,
,,,,,,,,,,,,,5,4.13484,0.0282041,1042,,,,
,,,,,,,,,,,,,5,6.83984,0.282041,1570,,,,
,,,,,,,,,,,,,5,5.53181,0.155123,1299,,,,
,,,,,,,,,,,,,5,6.44662,0.0352552,1158,,,,
,,,,,,,,,,,,,5,6.61425,0.00705104,881,,,,
,,,,,,,,,,,,,5,5.49572,1.3961,2031,,,,
,,,,,,,,,,,,,5,10.3224,0.0352552,1085,,,,
,,,,,,,,,,,,,5,6.01178,0.0775614,1196,,,,
,,,,,,,,,,,,,5,7.05655,0.0141021,1090,,,,
,,,,,,,,,,,,,5,14.8954,0.289092,1425,,,,
,,,,,,,,,,,,,5,6.39958,0.0282041,1091,,,,
,,,,,,,,,,,,,5,9.04462,0.282041,1149,,,,
,,,,,,,,,,,,,5,8.25184,0.47947,1366,,,,
,,,,,,,,,,,,,5,7.26956,0.0141021,939,,,,
,,,,,,,,,,,,,5,8.23158,0.155123,1085,,,,
,,,,,,,,,,,,,5,8.59125,0.00705104,1040,,,,
,,,,,,,,,,,,,5,10.3972,0.00705104,990,,,,
,,,,,,,,,,,,,5,9.12261,0.0352552,1172,,,,
,,,,,,,,,,,,,5,12.4277,0.176276,1491,,,,
,,,,,,,,,,,,,5,11.7773,0.211531,1431,,,,
,,,,,,,,,,,,,5,12.1431,0.183327,1448,,,,
,,,,,,,,,,,,,5,5.39314,0.0493572,1237,,,,
,,,,,,,,,,,,,5,7.76069,0.0775614,1165,,,,
,,,,,,,,,,,,,5,11.1549,0.00705104,1110,,,,
,,,,,,,,,,,,,5,9.81326,0.0352552,1113,,,,
ATG9-GolSeg-Myc_21May22_4040_000_C_000_NSW4040_Myc-555_TGN-488_ATG9-647_B_60X_002.nd2,4,2,1,9.9162e+07,124.477,5.7266e+06,5.56274e+07,0.466243,38.9416,30.1593,1,0.600126,1,11.2956,1.01535,2117,1,2.24078,0.592287,1930
,,,2,9.34775e+07,121.943,6.15516e+06,5.41144e+07,0.501411,36.8992,32.7624,2,2.58757,1,20.4081,0.0423062,966,1,0.755349,0.169225,1510
,,,3,8.23917e+07,120.981,3.74373e+06,4.32624e+07,0.519778,39.1246,29.3375,3,,1,20.9211,0.00705104,1212,1,1.77372,21.5057,2060
,,,4,8.04219e+07,120.868,1.67401e+06,4.62791e+07,0.499771,36.5593,30.7464,4,,1,16.5744,0.00705104,1189,1,1.55277,0.148072,1218
,,,,,,,,,,,,,1,15.8906,0.324348,1362,1,2.90135,0.0211531,964
,,,,,,,,,,,,,1,12.968,0.260888,1215,1,5.30919,3.68064,2393
,,,,,,,,,,,,,1,16.6633,0.0916635,1142,1,2.80721,0.00705104,874
,,,,,,,,,,,,,1,12.2893,0.373705,1725,1,4.02787,0.00705104,932
,,,,,,,,,,,,,1,15.9912,0.0141021,882,2,1.26432,20.4127,3310
,,,,,,,,,,,,,1,11.8945,0.183327,1184,2,4.11999,0.0282041,1053
,,,,,,,,,,,,,1,12.3882,0.00705104,1037,2,4.53629,0.514726,1300
,,,,,,,,,,,,,1,16.1453,0.00705104,877,2,3.05449,0.0987145,1122
,,,,,,,,,,,,,1,13.4747,0.0282041,1047,2,3.71646,0.00705104,973
,,,,,,,,,,,,,1,8.43046,0.846124,1787,2,0.537333,0.937788,1614
,,,,,,,,,,,,,1,11.4883,0.0987145,1189,2,3.20291,0.803818,1719
,,,,,,,,,,,,,1,12.2912,0.00705104,955,2,4.38973,0.691001,1585
,,,,,,,,,,,,,1,9.94496,0.211531,1139,2,2.19516,0.20448,1427
,,,,,,,,,,,,,1,13.5484,0.0423062,926,2,2.7554,0.126919,1226
,,,,,,,,,,,,,1,13.1713,0.112817,1283,2,2.06237,0.289092,1375
,,,,,,,,,,,,,1,10.3562,0.00705104,1025,2,2.94477,0.190378,1670
,,,,,,,,,,,,,1,10.2362,0.197429,1363,2,1.85093,0.0775614,1125
,,,,,,,,,,,,,1,14.5737,0.126919,1333,2,2.50812,0.190378,1143
,,,,,,,,,,,,,1,14.7764,0.00705104,1108,2,3.01689,0.0423062,1123
,,,,,,,,,,,,,1,10.6019,0.0705104,1154,2,3.42779,3.20117,2005
,,,,,,,,,,,,,1,13.3004,0.00705104,924,3,0.355228,0.691001,1641
,,,,,,,,,,,,,1,5.52809,0.253837,1407,3,0.483186,0.225633,1315
,,,,,,,,,,,,,1,8.85626,0.0282041,1078,3,1.1667,0.472419,1730
,,,,,,,,,,,,,1,7.73947,0.00705104,884,3,1.81928,0.176276,1691
,,,,,,,,,,,,,1,10.336,0.324348,1247,3,1.92512,0.74741,1465
,,,,,,,,,,,,,1,10.6362,0.0493572,1020,3,1.12998,0.627542,1539
,,,,,,,,,,,,,1,8.16888,0.119868,1114,3,2.74415,0.0705104,1132
,,,,,,,,,,,,,1,5.5419,0.00705104,908,3,2.81925,0.980094,1664
,,,,,,,,,,,,,1,11.3983,0.0493572,1021,3,2.36431,0.155123,1109
,,,,,,,,,,,,,1,11.963,0.0282041,1222,3,2.13907,0.119868,1267
,,,,,,,,,,,,,1,8.82739,0.0211531,1093,3,2.96041,8.64457,2198
,,,,,,,,,,,,,1,12.4005,0.155123,1240,3,3.8328,3.61718,1685
,,,,,,,,,,,,,1,8.77595,0.148072,1343,3,3.20723,0.33845,1333
,,,,,,,,,,,,,1,9.87159,0.00705104,858,3,1.96468,0.169225,1149
,,,,,,,,,,,,,1,3.76672,0.549981,1425,3,4.33836,0.303195,1179
,,,,,,,,,,,,,1,3.54037,0.00705104,968,3,3.16963,0.0987145,1204
,,,,,,,,,,,,,1,3.26639,0.296143,1098,3,2.02186,0.148072,1487
,,,,,,,,,,,,,1,8.49632,0.239735,1401,3,3.20776,0.33845,1429
,,,,,,,,,,,,,1,9.7238,0.00705104,1086,3,2.78336,0.345501,1506
