Filename,SegCellCount,NucleiCount,CellID,totMyc,meanMyc,SumGolATG9,totATG9A,PearsonCoeff,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
,,,,,,,,,,,,,2,0.735886,0.0352552,1297,,,,
,,,,,,,,,,,,,2,5.31442,0.0493572,1048,,,,
,,,,,,,,,,,,,2,14.2839,0.366654,1781,,,,
,,,,,,,,,,,,,2,14.2745,0.0705104,1142,,,,
,,,,,,,,,,,,,2,4.4503,0.00705104,912,,,,
,,,,,,,,,,,,,2,12.2961,0.0282041,952,,,,
,,,,,,,,,,,,,2,11.576,0.303195,1437,,,,
,,,,,,,,,,,,,2,11.6446,0.317297,1218,,,,
,,,,,,,,,,,,,2,10.6862,0.0141021,1037,,,,
,,,,,,,,,,,,,2,11.3992,0.0987145,1403,,,,
,,,,,,,,,,,,,2,11.4178,0.0141021,1068,,,,
,,,,,,,,,,,,,2,11.8739,0.465368,1325,,,,
,,,,,,,,,,,,,2,12.6054,0.00705104,899,,,,
,,,,,,,,,,,,,2,10.1125,0.00705104,982,,,,
,,,,,,,,,,,,,2,10.8055,0.112817,1263,,,,
,,,,,,,,,,,,,2,5.85881,0.0423062,1221,,,,
,,,,,,,,,,,,,2,9.35984,0.00705104,942,,,,
,,,,,,,,,,,,,2,12.6256,0.211531,1674,,,,
,,,,,,,,,,,,,2,8.11854,0.303195,1368,,,,
,,,,,,,,,,,,,2,18.7673,0.289092,1323,,,,
,,,,,,,,,,,,,2,5.54551,0.0141021,1100,,,,
,,,,,,,,,,,,,2,12.607,0.0141021,1104,,,,
,,,,,,,,,,,,,2,5.07666,0.0846124,1226,,,,
,,,,,,,,,,,,,2,11.56,0.373705,1624,,,,
,,,,,,,,,,,,,2,12.3174,0.0493572,1307,,,,
,,,,,,,,,,,,,2,11.2462,0.0987145,1226,,,,
,,,,,,,,,,,,,2,9.37561,0.0211531,1296,,,,
,,,,,,,,,,,,,2,10.5756,0.183327,1176,,,,
,,,,,,,,,,,,,2,11.0619,0.260888,1365,,,,
,,,,,,,,,,,,,2,9.95541,0.0141021,968,,,,
,,,,,,,,,,,,,2,14.5643,0.296143,1297,,,,
,,,,,,,,,,,,,2,14.1395,0.0141021,918,,,,
,,,,,,,,,,,,,2,8.08929,0.0493572,1311,,,,
,,,,,,,,,,,,,2,9.60356,0.148072,1309,,,,
,,,,,,,,,,,,,2,5.89881,0.0282041,1070,,,,
,,,,,,,,,,,,,2,6.66355,0.0916635,1406,,,,
,,,,,,,,,,,,,2,7.85585,0.0775614,1301,,,,
,,,,,,,,,,,,,2,10.8487,0.0423062,1032,,,,
,,,,,,,,,,,,,2,10.0744,0.0634593,1216,,,,
,,,,,,,,,,,,,2,15.5005,0.0211531,1067,,,,
,,,,,,,,,,,,,2,10.9582,0.253837,1375,,,,
,,,,,,,,,,,,,2,10.252,0.183327,1741,,,,
,,,,,,,,,,,,,2,15.2706,0.119868,1237,,,,
,,,,,,,,,,,,,2,10.8075,0.0634593,1094,,,,
,,,,,,,,,,,,,2,15.7969,0.698052,1532,,,,
,,,,,,,,,,,,,2,10.0832,0.0423062,1093,,,,
,,,,,,,,,,,,,2,8.99094,0.0564083,1291,,,,
,,,,,,,,,,,,,2,9.47016,0.352552,1512,,,,
,,,,,,,,,,,,,2,10.745,0.267939,1257,,,,
,,,,,,,,,,,,,2,10.5715,0.155123,1198,,,,
,,,,,,,,,,,,,2,14.9651,0.0916635,1253,,,,
,,,,,,,,,,,,,2,11.6395,0.0141021,1104,,,,
,,,,,,,,,,,,,2,14.301,0.00705104,889,,,,
,,,,,,,,,,,,,2,15.1286,0.00705104,993,,,,
,,,,,,,,,,,,,2,15.3882,0.0282041,1156,,,,
,,,,,,,,,,,,,2,17.444,0.0493572,1136,,,,
,,,,,,,,,,,,,2,15.3988,0.00705104,933,,,,
,,,,,,,,,,,,,2,15.9604,0.176276,1357,,,,
,,,,,,,,,,,,,2,14.6441,0.148072,1488,,,,
,,,,,,,,,,,,,2,18.34,0.0282041,1058,,,,
,,,,,,,,,,,,,2,17.0991,0.00705104,969,,,,
,,,,,,,,,,,,,2,16.1011,0.00705104,927,,,,
,,,,,,,,,,,,,2,16.9249,1.17047,2183,,,,
,,,,,,,,,,,,,2,17.221,0.162174,1277,,,,
,,,,,,,,,,,,,2,16.2745,0.380756,1546,,,,
,,,,,,,,,,,,,2,11.3517,0.0423062,1204,,,,
,,,,,,,,,,,,,2,17.7489,0.00705104,996,,,,
,,,,,,,,,,,,,2,15.58,0.0916635,1521,,,,
,,,,,,,,,,,,,2,16.6291,0.00705104,1145,,,,
,,,,,,,,,,,,,2,17.444,0.0282041,1101,,,,
,,,,,,,,,,,,,2,14.3451,0.105766,1149,,,,
,,,,,,,,,,,,,2,15.9475,0.00705104,1082,,,,
,,,,,,,,,,,,,2,14.5552,0.282041,1646,,,,
,,,,,,,,,,,,,2,16.1914,0.267939,1771,,,,
,,,,,,,,,,,,,2,17.0408,0.33845,2074,,,,
,,,,,,,,,,,,,2,17.2063,0.0493572,1130,,,,
,,,,,,,,,,,,,2,17.1036,0.00705104,866,,,,
,,,,,,,,,,,,,2,14.1936,0.0916635,1267,,,,
,,,,,,,,,,,,,2,13.7606,0.289092,1947,,,,
,,,,,,,,,,,,,2,12.2908,0.197429,1088,,,,
,,,,,,,,,,,,,2,11.8818,0.00705104,971,,,,
,,,,,,,,,,,,,2,14.4532,0.00705104,965,,,,
,,,,,,,,,,,,,2,12.0037,0.0634593,1203,,,,
,,,,,,,,,,,,,2,14.1279,0.0634593,1165,,,,
,,,,,,,,,,,,,2,11.4985,0.0705104,1168,,,,
,,,,,,,,,,,,,2,14.3367,0.0211531,1379,,,,
,,,,,,,,,,,,,2,18.4601,0.0282041,1202,,,,
,,,,,,,,,,,,,2,24.1996,0.0705104,1491,,,,
,,,,,,,,,,,,,2,21.8701,0.0423062,1116,,,,
,,,,,,,,,,,,,2,24.0269,0.0846124,1184,,,,
,,,,,,,,,,,,,2,24.7682,0.0352552,1332,,,,
,,,,,,,,,,,,,2,21.9246,0.0423062,1180,,,,
,,,,,,,,,,,,,2,23.999,0.0493572,967,,,,
,,,,,,,,,,,,,2,18.6828,0.00705104,860,,,,
,,,,,,,,,,,,,2,20.2655,0.00705104,1073,,,,
,,,,,,,,,,,,,2,23.0624,0.0423062,1210,,,,
,,,,,,,,,,,,,2,22.3259,0.119868,1378,,,,
,,,,,,,,,,,,,2,22.7513,0.0423062,1217,,,,
,,,,,,,,,,,,,2,23.3074,0.0705104,1337,,,,
,,,,,,,,,,,,,2,18.4437,0.190378,1976,,,,
,,,,,,,,,,,,,2,20.6064,0.00705104,1078,,,,
,,,,,,,,,,,,,2,21.0573,0.0634593,1290,,,,
,,,,,,,,,,,,,2,20.2852,0.0634593,1260,,,,
,,,,,,,,,,,,,2,18.4766,0.197429,2006,,,,
,,,,,,,,,,,,,2,18.8972,0.0564083,1185,,,,
,,,,,,,,,,,,,2,20.8164,0.126919,1261,,,,
,,,,,,,,,,,,,2,23.9234,2.75695,3177,,,,
,,,,,,,,,,,,,2,23.1523,0.916635,1855,,,,
,,,,,,,,,,,,,2,24.5254,0.260888,1590,,,,
,,,,,,,,,,,,,2,25.1716,0.246786,1635,,,,
,,,,,,,,,,,,,2,25.5962,0.634593,2172,,,,
,,,,,,,,,,,,,2,26.9909,2.82041,3069,,,,
,,,,,,,,,,,,,2,24.159,0.190378,1667,,,,
,,,,,,,,,,,,,2,26.3046,0.155123,1536,,,,
,,,,,,,,,,,,,2,26.943,0.211531,1352,,,,
,,,,,,,,,,,,,2,23.9336,0.190378,1309,,,,
,,,,,,,,,,,,,2,22.8002,0.232684,1512,,,,
,,,,,,,,,,,,,2,30.195,0.00705104,888,,,,
,,,,,,,,,,,,,2,31.7902,0.141021,1674,,,,
,,,,,,,,,,,,,2,32.5834,0.176276,1717,,,,
,,,,,,,,,,,,,2,28.681,0.00705104,1008,,,,
,,,,,,,,,,,,,2,30.4747,0.0846124,1257,,,,
,,,,,,,,,,,,,2,30.2065,0.0564083,1286,,,,
,,,,,,,,,,,,,2,31.3426,0.183327,2472,,,,
ATG9-GolSeg-Myc_21May22_4039_000_C_000_NSW4039A_Myc-555_TGN-488_ATG9-647_B_60X_002.nd2,4,4,1,1.12362e+08,142.206,3.86126e+06,5.64582e+07,0.480777,36.6868,34.7682,1,0.0815532,1,22.8236,0.169225,1908,1,5.7887,0.571134,1718
,,,2,1.39482e+08,147.669,5.80497e+06,9.25891e+07,0.43352,43.6778,32.9807,2,0.93475,1,17.2768,0.00705104,868,1,5.15247,6.51516,2351
,,,3,1.10476e+08,143.259,1.10507e+07,5.64536e+07,0.471005,39.5348,29.8378,3,0.575427,1,16.0639,0.00705104,954,1,7.4363,0.0564083,1143
,,,4,1.09998e+08,138.231,4.16917e+06,5.73193e+07,0.560002,37.1381,33.0672,4,0.827156,1,18.0841,0.0493572,1289,1,7.01311,0.0141021,910
,,,,,,,,,,,,,1,12.7313,0.0211531,996,1,8.01754,0.958941,1412
,,,,,,,,,,,,,1,13.1746,0.0564083,1206,1,3.33833,1.6711,1931
,,,,,,,,,,,,,1,13.4308,0.00705104,1040,1,2.13535,0.648695,1792
,,,,,,,,,,,,,1,11.9741,0.00705104,929,1,1.28269,0.465368,1470
,,,,,,,,,,,,,1,15.9247,0.0423062,1031,1,1.00803,2.36915,2280
,,,,,,,,,,,,,1,13.7567,0.00705104,920,1,0.625716,0.437164,1441
,,,,,,,,,,,,,1,14.3529,0.00705104,867,1,4.51177,1.06471,1528
