Filename,SegCellCount,NucleiCount,CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,PearsonCoeff,SumGolATG9,totATG9A,MajorAxisLength,MinorAxisLength,nCell,NucDis,gCell,GolATG9Dis,pCell,nonGolATG9Dis
,,,,,,,,,,,,,,,,2,4.67188,2,9.95139
,,,,,,,,,,,,,,,,2,2.79609,2,8.83473
,,,,,,,,,,,,,,,,3,7.31057,2,8.13689
,,,,,,,,,,,,,,,,3,2.25864,2,12.235
,,,,,,,,,,,,,,,,3,5.80653,3,
,,,,,,,,,,,,,,,,3,0.97927,4,8.67977
,,,,,,,,,,,,,,,,3,4.34763,5,29.5345
,,,,,,,,,,,,,,,,3,1.90749,5,26.5151
,,,,,,,,,,,,,,,,3,2.28486,5,26.4118
,,,,,,,,,,,,,,,,4,5.98659,5,26.2074
,,,,,,,,,,,,,,,,4,5.41872,6,25.1746
,,,,,,,,,,,,,,,,4,3.55092,6,22.0915
,,,,,,,,,,,,,,,,4,3.00074,6,20.4208
,,,,,,,,,,,,,,,,4,2.1347,6,25.1383
,,,,,,,,,,,,,,,,4,3.48436,6,23.5507
,,,,,,,,,,,,,,,,4,2.31978,6,22.1798
,,,,,,,,,,,,,,,,4,3.21681,6,10.3314
,,,,,,,,,,,,,,,,5,0.590879,6,8.00762
,,,,,,,,,,,,,,,,6,0.108591,6,10.2105
,,,,,,,,,,,,,,,,6,4.25568,6,8.51629
,,,,,,,,,,,,,,,,,,6,7.90143
,,,,,,,,,,,,,,,,,,6,8.24723
,,,,,,,,,,,,,,,,,,6,11.1512
ATG9-GolSeg_1Feb22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_004.nd2,10,8,1,0.60267,0.257139,1.41251,0.871294,0.821334,0.551869,6.88101e+06,7.63127e+07,62.6528,24.8495,1,1.16642,1,2.92986,1,23.5443
,,,3,0.482683,0.0612993,3.80074,0.655144,0.663667,0.395468,1.24794e+07,5.02276e+06,14.3649,10.9838,2,,1,12.6015,1,22.24
,,,4,0.639334,0.323681,1.26281,0.837844,0.84027,0.600268,1.50739e+07,9.31247e+07,52.4079,33.9719,3,1.40553,1,3.52386,1,22.4304
,,,5,0.642388,0.314096,1.31381,0.882001,0.886678,0.587669,7.91349e+06,1.10484e+08,60.342,38.6078,4,1.33578,1,6.9642,1,5.92323
,,,6,0.628951,0.320821,1.23302,0.87411,0.856713,0.573552,801047,9.50589e+07,49.8786,37.6495,5,1.35979,1,1.79495,1,21.4116
,,,7,0.765311,0.201845,2.90173,0.950857,0.916069,0.71749,4.09256e+06,8.18843e+06,13.7447,11.1385,6,,2,,2,1.66559
,,,8,0.641017,0.261854,1.5692,0.86648,0.825083,0.596304,1.62107e+07,6.8712e+07,58.1491,28.1224,7,1.33444,3,12.4322,3,24.3663
,,,9,0.651565,0.298206,1.42364,0.838821,0.866307,0.611779,1.01958e+07,6.50328e+07,39.704,34.5818,8,1.31315,3,12.7291,3,25.7589
,,,10,0.640261,0.234925,1.74495,0.847693,0.881093,0.582627,9.81986e+06,5.28829e+07,42.0115,24.5648,9,1.71673,3,13.2338,3,15.5477
,,,10,0.679835,0.36475,1.2671,0.882398,0.816603,0.636749,,5.96575e+07,38.9891,33.303,10,0.651244,3,7.59839,3,12.986
,,,,,,,,,,,,,,,,3,10.7601,4,22.0249
,,,,,,,,,,,,,,,,3,4.47154,4,23.4861
,,,,,,,,,,,,,,,,3,5.12157,4,23.5928
,,,,,,,,,,,,,,,,3,2.98817,4,24.5234
