Filename,NucleiCount,CellID,SumGolATG9,totATG9A,PearsonCoeff
,,4,1.62708e+06,8.48681e+07,0.585212
ATG9-GolSeg_13Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_007_crop.nd2,2,1,339732,7.3784e+07,0.574851
,,2,418435,5.91276e+07,0.572418
ATG9-GolSeg_13Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_008_crop.nd2,6,1,1.77957e+06,1.36962e+08,0.603796
,,2,733801,1.54191e+08,0.606108
,,3,4.38682e+06,1.04258e+08,0.529141
,,4,1.09046e+06,1.08637e+08,0.593378
,,5,454807,7.86218e+07,0.610908
,,6,2.78599e+06,1.0666e+08,0.651268
ATG9-GolSeg_13Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_009.nd2,8,1,800886,1.02436e+08,0.651066
,,2,1.49251e+06,1.01622e+08,0.670043
,,3,86768,9.51677e+07,0.628036
,,4,7.31593e+06,1.0904e+08,0.591116
,,5,3.03694e+06,6.10273e+07,0.514731
,,6,2.4564e+06,8.58742e+07,0.480155
,,7,2.40548e+06,1.53054e+08,0.56027
,,8,3.03523e+06,1.70794e+08,0.572883
ATG9-GolSeg_13Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_010_crop.nd2,4,1,1.18157e+06,8.9097e+07,0.606776
,,2,2.40966e+06,8.2581e+07,0.647749
,,3,3.46393e+06,1.06244e+08,0.652606
,,4,2.39338e+06,8.9152e+07,0.619858
ATG9-GolSeg_13Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_012.nd2,2,1,4.43742e+06,2.41938e+08,0.595407
,,2,4.43663e+06,3.14812e+08,0.539893
ATG9-GolSeg_13Jan22_4019_000_C_NSW4019_TGN46-4888_ATG9-647_B_60X_013.nd2,4,1,2.36911e+07,2.48209e+08,0.673323
,,2,1.52647e+07,1.71691e+08,0.642336
,,3,7.78037e+06,1.29442e+08,0.529611
,,4,1.12086e+07,1.65156e+08,0.664649
ATG9-GolSeg_13Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_001_crop.nd2,2,1,9.91084e+06,1.42556e+08,0.63213
,,2,7.01091e+06,1.50066e+08,0.649871
ATG9-GolSeg_13Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_002_crop.nd2,4,1,4.88889e+06,1.07402e+08,0.601205
,,2,1.76805e+06,1.14357e+08,0.568204
,,3,3.72755e+06,1.12645e+08,0.545502
,,4,5.25811e+06,1.1478e+08,0.625639
ATG9-GolSeg_13Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_003_crop.nd2,2,1,2.62337e+06,1.35222e+08,0.633782
,,2,4.40906e+06,1.70644e+08,0.609764
ATG9-GolSeg_13Jan22_4019_000_T_NSW4019_TGN46-4888_ATG9-647_B_60X_004.nd2,2,1,8.33431e+06,2.14648e+08,0.622105
,,2,1.3963e+07,4.08524e+08,0.58918
